Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Belgium,all_competitions,Brandon Mechele,DF,33-137,1.9,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Timothy Castagne,DF,30-191,1.7,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Alexis Saelemaekers,MF,26-352,1.6,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Koni De Winter,DF,24-002,1.4,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Dodi Lukebakio,MF,28-263,1.3,4,,,,,,,,0,0,Matches
Belgium,all_competitions,Axel Witsel,MF,37-153,1.2,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Arthur Theate,DF,26-020,1.2,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Loïs Openda,FW,26-118,1.0,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Senne Lammens,GK,23-342,1.0,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Matz Sels,GK,34-108,1.0,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Mika Godts,MF,21-007,0.9,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Zeno Debast,DF,22-233,0.9,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Leandro Trossard,MF,31-192,0.8,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Joaquin Seys,DF,21-078,0.8,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Hans Vanaken,MF,33-294,0.5,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Romelu Lukaku,FW,33-032,0.5,1,,,,,,,,0,0,Matches
Belgium,all_competitions,Matias Fernandez-Pardo,"FW,MF",21-131,0.4,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Nathan De Cat,MF,17-330,0.2,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Lucas Stassin,FW,21-198,0.2,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Diego Moreira,MF,21-312,0.1,0,,,,,,,,0,0,Matches
Belgium,all_competitions,Squad Total,,28.1,4.0,13,,,,,,,,1,1,
Belgium,all_competitions,Opponent Total,,27.6,4.0,3,,,,,,,,0,0,
Belgium,all_competitions,Jeremy Doku,"MF,FW",23.0,7.1,5,27.0,10.0,37.0,3.79,1.4,0.19,0.5,0,0,Matches
Belgium,all_competitions,Arthur Theate,DF,25.0,6.5,1,6.0,1.0,16.7,0.92,0.15,0.17,1.0,0,0,Matches
Belgium,all_competitions,Zeno Debast,DF,22.0,6.0,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
Belgium,all_competitions,Nicolas Raskin,MF,24.0,5.9,1,11.0,4.0,36.4,1.86,0.68,0.09,0.25,0,0,Matches
Belgium,all_competitions,Kevin De Bruyne,MF,34.0,5.1,6,23.0,9.0,39.1,4.47,1.75,0.17,0.44,2,2,Matches
Belgium,all_competitions,Maxim De Cuyper,DF,25.0,4.6,2,11.0,5.0,45.5,2.39,1.09,0.18,0.4,0,0,Matches
Belgium,all_competitions,Hans Vanaken,MF,33.0,4.7,2,19.0,5.0,26.3,4.03,1.06,0.11,0.4,0,0,Matches
Belgium,all_competitions,Leandro Trossard,"MF,FW",31.0,4.4,1,10.0,3.0,30.0,2.28,0.68,0.1,0.33,0,0,Matches
Belgium,all_competitions,Thomas Meunier,DF,34.0,3.9,2,9.0,4.0,44.4,2.31,1.03,0.22,0.5,0,0,Matches
Belgium,all_competitions,Timothy Castagne,DF,30.0,4.6,0,5.0,2.0,40.0,1.09,0.44,0.0,0.0,0,0,Matches
Belgium,all_competitions,Youri Tielemans,MF,28.0,4.3,3,13.0,5.0,38.5,3.05,1.17,0.15,0.4,1,1,Matches
Belgium,all_competitions,Thibaut Courtois,GK,33.0,4.0,0,0.0,0.0,,0.0,0.0,,,0,0,Matches
