Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Czechia,world_cup,Matej Kovar,GK,26-028,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Ladislav Krejčí,DF,27-055,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,0,0,Matches
Czechia,world_cup,Tomáš Souček,MF,31-107,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Czechia,world_cup,Jaroslav Zelený,MF,33-298,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Alexandr Sojka,MF,23-073,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Lukáš Provod,FW,29-234,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Patrik Schick,FW,30-141,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Pavel Šulc,FW,25-167,0.7,0,1,0,0.0,1.43,0.0,0.0,,0,0,Matches
Czechia,world_cup,Tomáš Chorý,FW,31-139,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Adam Hložek,"FW,MF",23-324,0.3,0,2,1,50.0,6.67,3.33,0.0,0.0,0,0,Matches
Czechia,world_cup,Michal Sadílek,"DF,FW",27-014,0.3,0,2,2,100.0,6.67,6.67,0.0,0.0,0,0,Matches
Czechia,world_cup,Mojmír Chytil,FW,27-046,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Czechia,world_cup,Squad Total,,28.2,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0,
Czechia,world_cup,Opponent Total,,28.7,1.0,2,15,6,40.0,15.0,6.0,0.13,0.33,0,0,
Haiti,world_cup,Ricardo Adé,DF,36-024,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Haiti,world_cup,Carlens Arcus,DF,29-351,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Haiti,world_cup,Jean-Ricner Bellegarde,MF,27-352,1.0,0,3,0,0.0,3.0,0.0,0.0,,0,0,Matches
Haiti,world_cup,Hannes Delcroix,DF,27-106,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Haiti,world_cup,Martin Expérience,DF,27-097,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Haiti,world_cup,Danley Jean-Jacques,MF,26-025,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Haiti,world_cup,Frantzdy Pierrot,FW,31-077,1.0,0,3,1,33.3,3.0,1.0,0.0,0.0,0,0,Matches
Haiti,world_cup,Johny Placide,GK,38-136,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Haiti,world_cup,Ruben Providence,MF,24-342,0.9,0,3,1,33.3,3.21,1.07,0.0,0.0,0,0,Matches
Haiti,world_cup,Wilson Isidor,FW,25-291,0.8,0,2,0,0.0,2.4,0.0,0.0,,0,0,Matches
Haiti,world_cup,Louicius Deedson,MF,25-123,0.7,0,1,0,0.0,1.5,0.0,0.0,,0,0,Matches
Haiti,world_cup,Josué Casimir,"FW,MF",24-263,0.3,0,1,0,0.0,3.0,0.0,0.0,,0,0,Matches
Haiti,world_cup,Lenny Joseph,"FW,MF",25-245,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Haiti,world_cup,Yassin Fortuné,"FW,MF",27-135,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Haiti,world_cup,Squad Total,,29.1,1.0,0,15,2,13.3,15.0,2.0,0.0,0.0,0,0,
Haiti,world_cup,Opponent Total,,29.4,1.0,1,9,2,22.2,9.0,2.0,0.11,0.5,0,0,
Korea Republic,world_cup,Lee Gi-hyuk,DF,25-342,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Lee Han-beom,DF,23-362,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Korea Republic,world_cup,Lee Kang-in,FW,25-115,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0,Matches
Korea Republic,world_cup,Kim Min-jae,DF,29-211,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Kim Seung-gyu,GK,35-257,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Seol Young-woo,MF,27-191,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Hwang In-beom,MF,29-267,0.9,1,3,2,66.7,3.25,2.17,0.33,0.5,0,0,Matches
Korea Republic,world_cup,Paik Seung-ho,MF,29-089,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Son Heung-min,FW,33-341,0.8,0,6,1,16.7,7.94,1.32,0.0,0.0,0,0,Matches
Korea Republic,world_cup,Lee Tae-seok,MF,23-321,0.8,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Lee Jae-sung,FW,33-308,0.7,0,2,1,50.0,2.95,1.48,0.0,0.0,0,0,Matches
Korea Republic,world_cup,Hwang Hee-chan,"FW,MF",30-139,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Oh Hyeon-gyu,FW,25-063,0.2,1,1,1,100.0,4.09,4.09,1.0,1.0,0,0,Matches
Korea Republic,world_cup,Eom Ji-sung,MF,24-036,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Kim Jin-gyu,MF,29-110,0.1,0,1,0,0.0,12.86,0.0,0.0,,0,0,Matches
Korea Republic,world_cup,Park Jinseob,"DF,MF",30-234,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Korea Republic,world_cup,Squad Total,,28.7,1.0,2,15,6,40.0,15.0,6.0,0.13,0.33,0,0,
Korea Republic,world_cup,Opponent Total,,28.2,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0,
Mexico,world_cup,Roberto Alvarado,MF,27-280,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Jesús Gallardo,DF,31-303,1.0,0,2,0,0.0,2.0,0.0,0.0,,0,0,Matches
Mexico,world_cup,Raúl Rangel,GK,26-109,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Israel Reyes,DF,26-022,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Mexico,world_cup,Johan Vásquez,DF,27-235,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,César Montes,DF,29-110,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Julián Quiñones,MF,29-082,0.9,1,5,2,40.0,5.77,2.31,0.2,0.5,0,0,Matches
Mexico,world_cup,Raúl Jiménez,FW,35-040,0.8,1,4,2,50.0,4.8,2.4,0.25,0.5,0,0,Matches
Mexico,world_cup,Erik Lira,MF,26-037,0.8,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Álvaro Fidalgo,MF,29-066,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Brian Gutiérrez,MF,22-362,0.7,0,4,0,0.0,5.54,0.0,0.0,,0,0,Matches
Mexico,world_cup,Luis Chávez,MF,30-150,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Gilberto Mora,MF,17-243,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Mexico,world_cup,Edson Álvarez,"DF,MF",28-233,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
