Country,Category,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,Playing Time_MP
Brazil,world_cup,Léo Pereira,DF,30-134,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Rayan,MF,19-315,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Alex Sandro,"DF,MF",35-139,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Wéverton,GK,38-183,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Brazil,world_cup,Squad Total,,29.8,1.0,90.0,90.0,100.0,1.0,11,75.0,6,5,32.0,9,1.0,1.0,1.0,0.0,0.0,,,
Brazil,world_cup,Opponent Total,,25.8,1.0,90.0,90.0,100.0,1.0,11,75.0,6,5,15.0,10,1.0,1.0,1.0,0.0,0.0,,,
Canada,world_cup,Derek Cornelius,DF,28-201,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Canada,world_cup,Maxime Crépeau,GK,32-034,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Canada,world_cup,Luc De Fougerolles,DF,20-245,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Canada,world_cup,Alistair Johnston,DF,27-249,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Canada,world_cup,Ismaël Koné,MF,23-363,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Canada,world_cup,Richie Laryea,DF,31-158,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches,
Canada,world_cup,Stephen Eustáquio,MF,29-175,1.0,89.0,89.0,98.9,1.0,1,89.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,
Canada,world_cup,Tani Oluwaseyi,FW,26-030,1.0,75.0,75.0,83.3,0.8,1,75.0,0,0,,0,1.0,0.0,1.0,-1.0,-1.2,-7.2,Matches,
Canada,world_cup,Tajon Buchanan,MF,27-126,1.0,60.0,60.0,66.7,0.7,1,60.0,0,0,,0,1.0,0.0,1.0,-1.0,-1.5,-4.5,Matches,
Canada,world_cup,Jonathan David,FW,26-151,1.0,60.0,60.0,66.7,0.7,1,60.0,0,0,,0,1.0,0.0,1.0,-1.0,-1.5,-4.5,Matches,
Canada,world_cup,Liam Millar,MF,26-260,1.0,60.0,60.0,66.7,0.7,1,60.0,0,0,,0,1.0,0.0,1.0,-1.0,-1.5,-4.5,Matches,
Canada,world_cup,Ali Ahmed,MF,25-247,1.0,30.0,30.0,33.3,0.3,0,,0,1,30.0,0,1.0,1.0,0.0,1.0,3.0,4.5,Matches,
Canada,world_cup,Promise David,FW,24-346,1.0,30.0,30.0,33.3,0.3,0,,0,1,30.0,0,1.0,1.0,0.0,1.0,3.0,4.5,Matches,
Canada,world_cup,Jacob Shaffelburg,MF,26-200,1.0,30.0,30.0,33.3,0.3,0,,0,1,30.0,0,1.0,1.0,0.0,1.0,3.0,4.5,Matches,
Canada,world_cup,Cyle Larin,"FW,MF",31-058,1.0,15.0,15.0,16.7,0.2,0,,0,1,15.0,0,1.0,1.0,0.0,1.0,6.0,7.2,Matches,
Canada,world_cup,Jonathan Osorio,MF,34-002,1.0,1.0,1.0,1.1,0.0,0,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,
Canada,world_cup,Moïse Bombito,DF,26-076,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Mathieu Choinière,MF,27-127,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Alphonso Davies,"DF,FW",25-224,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Owen Goodman,GK,22-199,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Alfie Jones,"DF,MF",28-250,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Jayden Nelson,"FW,MF",23-261,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Nathan Saliba,MF,22-127,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Niko Sigur,"DF,MF",22-278,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Dayne St. Clair,GK,29-036,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Joel Waterman,DF,30-141,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Canada,world_cup,Squad Total,,27.3,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,21.0,10,1.0,1.0,1.0,0.0,0.0,,,
