Country,Category,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
Czechia,world_cup,1,mx Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
Czechia,world_cup,2,kr Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
Czechia,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
Czechia,world_cup,4,za South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Côte d'Ivoire,world_cup,1,ci Côte d'Ivoire,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
Côte d'Ivoire,world_cup,2,ec Ecuador,0,0,0,0,0.0,0.0,0.0,0,W D D W W,
Côte d'Ivoire,world_cup,3,de Germany,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Côte d'Ivoire,world_cup,4,cw Curaçao,0,0,0,0,0.0,0.0,0.0,0,D W D L W,
Ecuador,world_cup,1,ci Côte d'Ivoire,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
Ecuador,world_cup,2,ec Ecuador,0,0,0,0,0.0,0.0,0.0,0,W D D W W,
Ecuador,world_cup,3,de Germany,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Ecuador,world_cup,4,cw Curaçao,0,0,0,0,0.0,0.0,0.0,0,D W D L W,
Egypt,world_cup,1,be Belgium,0,0,0,0,0.0,0.0,0.0,0,W W D W W,
Egypt,world_cup,2,eg Egypt,0,0,0,0,0.0,0.0,0.0,0,D W D W L,
Egypt,world_cup,3,ir IR Iran,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
Egypt,world_cup,4,nz New Zealand,0,0,0,0,0.0,0.0,0.0,0,D L L L L,
England,world_cup,1,hr Croatia,0,0,0,0,0.0,0.0,0.0,0,W W L L W,
England,world_cup,2,eng England,0,0,0,0,0.0,0.0,0.0,0,W D L W W,
England,world_cup,3,gh Ghana,0,0,0,0,0.0,0.0,0.0,0,L L L L D,
England,world_cup,4,pa Panama,0,0,0,0,0.0,0.0,0.0,0,D W L W D,
France,world_cup,1,fr France,0,0,0,0,0.0,0.0,0.0,0,W W W L W,
France,world_cup,2,iq Iraq,0,0,0,0,0.0,0.0,0.0,0,W W W D L,
France,world_cup,3,no Norway,0,0,0,0,0.0,0.0,0.0,0,W L D W D,
France,world_cup,4,sn Senegal,0,0,0,0,0.0,0.0,0.0,0,W W W L D,
Germany,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Germany,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Germany,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Germany,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Germany,world_cup,5,at Austria,0,0,0,0,,,,0,,
Germany,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Germany,world_cup,7,de Germany,0,0,0,0,,,,0,,
Germany,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Germany,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Germany,world_cup,10,no Norway,0,0,0,0,,,,0,,
Germany,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Germany,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Germany,world_cup,1,ci Côte d'Ivoire,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
Germany,world_cup,2,ec Ecuador,0,0,0,0,0.0,0.0,0.0,0,W D D W W,
Germany,world_cup,3,de Germany,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Germany,world_cup,4,cw Curaçao,0,0,0,0,0.0,0.0,0.0,0,D W D L W,
Ghana,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Ghana,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Ghana,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Ghana,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Ghana,world_cup,5,at Austria,0,0,0,0,,,,0,,
Ghana,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Ghana,world_cup,7,de Germany,0,0,0,0,,,,0,,
Ghana,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Ghana,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Ghana,world_cup,10,no Norway,0,0,0,0,,,,0,,
Ghana,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Ghana,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Ghana,world_cup,1,hr Croatia,0,0,0,0,0.0,0.0,0.0,0,W W L L W,
Ghana,world_cup,2,eng England,0,0,0,0,0.0,0.0,0.0,0,W D L W W,
Ghana,world_cup,3,gh Ghana,0,0,0,0,0.0,0.0,0.0,0,L L L L D,
Ghana,world_cup,4,pa Panama,0,0,0,0,0.0,0.0,0.0,0,D W L W D,
Haiti,world_cup,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Haiti,world_cup,2,ma Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Haiti,world_cup,3,br Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Haiti,world_cup,4,ht Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
IR Iran,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
IR Iran,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
IR Iran,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
IR Iran,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
IR Iran,world_cup,5,at Austria,0,0,0,0,,,,0,,
IR Iran,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
IR Iran,world_cup,7,de Germany,0,0,0,0,,,,0,,
IR Iran,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
IR Iran,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
IR Iran,world_cup,10,no Norway,0,0,0,0,,,,0,,
IR Iran,world_cup,11,se Sweden,0,0,0,0,,,,0,,
IR Iran,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
IR Iran,world_cup,1,be Belgium,0,0,0,0,0.0,0.0,0.0,0,W W D W W,
IR Iran,world_cup,2,eg Egypt,0,0,0,0,0.0,0.0,0.0,0,D W D W L,
IR Iran,world_cup,3,ir IR Iran,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
IR Iran,world_cup,4,nz New Zealand,0,0,0,0,0.0,0.0,0.0,0,D L L L L,
Iraq,world_cup,1,fr France,0,0,0,0,0.0,0.0,0.0,0,W W W L W,
Iraq,world_cup,2,iq Iraq,0,0,0,0,0.0,0.0,0.0,0,W W W D L,
Iraq,world_cup,3,no Norway,0,0,0,0,0.0,0.0,0.0,0,W L D W D,
Iraq,world_cup,4,sn Senegal,0,0,0,0,0.0,0.0,0.0,0,W W W L D,
Japan,world_cup,1,jp Japan,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Japan,world_cup,2,nl Netherlands,0,0,0,0,0.0,0.0,0.0,0,W W D L W,
Japan,world_cup,3,se Sweden,0,0,0,0,0.0,0.0,0.0,0,D W W L D,
Japan,world_cup,4,tn Tunisia,0,0,0,0,0.0,0.0,0.0,0,D W D L L,
Jordan,world_cup,1,dz Algeria,0,0,0,0,0.0,0.0,0.0,0,L W D W W,
Jordan,world_cup,2,ar Argentina,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Jordan,world_cup,3,at Austria,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Jordan,world_cup,4,jo Jordan,0,0,0,0,0.0,0.0,0.0,0,L L D L L,
Korea Republic,world_cup,1,mx Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
Korea Republic,world_cup,2,kr Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
Korea Republic,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
Korea Republic,world_cup,4,za South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Mexico,world_cup,1,mx Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
Mexico,world_cup,2,kr Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
Mexico,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
Mexico,world_cup,4,za South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Morocco,world_cup,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Morocco,world_cup,2,ma Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Morocco,world_cup,3,br Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Morocco,world_cup,4,ht Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
Netherlands,world_cup,1,jp Japan,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Netherlands,world_cup,2,nl Netherlands,0,0,0,0,0.0,0.0,0.0,0,W W D L W,
Netherlands,world_cup,3,se Sweden,0,0,0,0,0.0,0.0,0.0,0,D W W L D,
Netherlands,world_cup,4,tn Tunisia,0,0,0,0,0.0,0.0,0.0,0,D W D L L,
New Zealand,world_cup,1,be Belgium,0,0,0,0,0.0,0.0,0.0,0,W W D W W,
New Zealand,world_cup,2,eg Egypt,0,0,0,0,0.0,0.0,0.0,0,D W D W L,
New Zealand,world_cup,3,ir IR Iran,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
New Zealand,world_cup,4,nz New Zealand,0,0,0,0,0.0,0.0,0.0,0,D L L L L,
Norway,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Norway,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Norway,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Norway,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Norway,world_cup,5,at Austria,0,0,0,0,,,,0,,
Norway,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Norway,world_cup,7,de Germany,0,0,0,0,,,,0,,
Norway,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Norway,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Norway,world_cup,10,no Norway,0,0,0,0,,,,0,,
Norway,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Norway,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Norway,world_cup,1,fr France,0,0,0,0,0.0,0.0,0.0,0,W W W L W,
Norway,world_cup,2,iq Iraq,0,0,0,0,0.0,0.0,0.0,0,W W W D L,
Norway,world_cup,3,no Norway,0,0,0,0,0.0,0.0,0.0,0,W L D W D,
Norway,world_cup,4,sn Senegal,0,0,0,0,0.0,0.0,0.0,0,W W W L D,
Panama,world_cup,1,hr Croatia,0,0,0,0,0.0,0.0,0.0,0,W W L L W,
Panama,world_cup,2,eng England,0,0,0,0,0.0,0.0,0.0,0,W D L W W,
Panama,world_cup,3,gh Ghana,0,0,0,0,0.0,0.0,0.0,0,L L L L D,
Panama,world_cup,4,pa Panama,0,0,0,0,0.0,0.0,0.0,0,D W L W D,
Paraguay,world_cup,1,us United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
Paraguay,world_cup,2,au Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
Paraguay,world_cup,3,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
Paraguay,world_cup,4,py Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
Portugal,world_cup,1,co Colombia,0,0,0,0,0.0,0.0,0.0,0,W L L W W,
Portugal,world_cup,2,pt Portugal,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Portugal,world_cup,3,cd Congo DR,0,0,0,0,0.0,0.0,0.0,0,L W W D L,
Portugal,world_cup,4,uz Uzbekistan,0,0,0,0,0.0,0.0,0.0,0,W W L L L,
Qatar,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Qatar,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Qatar,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Qatar,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Qatar,world_cup,5,at Austria,0,0,0,0,,,,0,,
Qatar,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Qatar,world_cup,7,de Germany,0,0,0,0,,,,0,,
