Player,MarketValue_EUR
Hassan Al-Haydos,Unknown
Al-Hashmi Al-Hussain,€250k
Tahsin Jamshid,Amir Saadati
Edmilson Junior,€1.80m
Boualem Khoukhi,€200k
Issa Laye,€8.00m
Assim Madibo,€350k
Mohamed Manai,-
Lucas Mendes,€350k
Mohammed Muntari,€200k
Ayoub Al-Oui,€375k
Ró-Ró,€150k
Salah Zakaria,€400k
Saud Abdulhamid,€9.00m
Abdulelah Al-Amri,€1.40m
Nawaf Al Aqidi,Unknown
Nawaf Boushal,€1.40m
Firas Al-Buraikan,€3.50m
Nasser Al-Dawsari,€900k
Salem Al-Dawsari,€1.20m
Khalid Al Ghannam,Unknown
Abdullah Al-Hamdan,€350k
Moteb Al-Harbi,€1.40m
Alaa Al Hejji,Unknown
Ziyad Al Johani,Unknown
Musab Al Juwayr,Unknown
Hassan Kadesh,€275k
Mohamed Kanno,€800k
Ahmed Al-Kassar,€175k
Abdullah Al-Khaibari,€750k
Ali Lajami,€750k
Ali Majrashi,€1.40m
Sultan Mendash,Unknown
Mohammed Al-Owais,€275k
Mohammed Abu Al-Shamat,€1.80m
Saleh Al-Shehri,€500k
Hassan Al Tambakti,Unknown
Jehad Thakri,€1.20m
Ayman Yahya,€1.20m
Ché Adams,€5.00m
Ryan Christie,€8.00m
Findlay Curtis,€2.00m
Lyndon Dykes,€800k
Lewis Ferguson,€14.00m
Tyler Fletcher,€1.50m
Ben Gannon-Doak,€15.00m
Billy Gilmour,€20.00m
Craig Gordon,€50k
Angus Gunn,€1.00m
Grant Hanley,€200k
Jack Hendry,€2.50m
Aaron Hickey,€16.00m
George Hirst,€10.00m
Dominic Hyam,€2.00m
Liam Kelly,€300k
John McGinn,€13.00m
Scott McKenna,€4.00m
Kenny McLean,€400k
Scott McTominay,€40.00m
Nathan Patterson,€10.00m
Anthony Ralston,€1.50m
Andy Robertson,€7.00m
Lawrence Shankland,€3.00m
John Souttar,€2.00m
Ross Stewart,€2.50m
Kieran Tierney,€8.00m
Lamine Camara,€40.00m
Pathé Ciss,€1.80m
Assane Diao,€30.00m
Habib Diarra,€35.00m
Krépin Diatta,€6.00m
Mory Diaw,€900k
Bamba Dieng,€15.00m
El Hadji Malick Diouf,€28.00m
Yehvann Diouf,€7.00m
Idrissa Gueye,€500k
Pape Gueye,€40.00m
Nicolas Jackson,€40.00m
Ismail Jakobs,€8.00m
Kalidou Koulibaly,€4.50m
Sadio Mané,€6.00m
Pape Matar Sarr,€30.00m
Ibrahim Mbaye,€30.00m
Antoine Mendy,€10.00m
Édouard Mendy,€4.00m
Cherif Ndiaye,€5.00m
Iliman Ndiaye,€55.00m
Moussa Niakhaté,€15.00m
Bara Sapoko Ndiaye,€4.00m
Ismaila Sarr,€40.00m
Mamadou Sarr,€22.00m
Abdoulaye Seck,€400k
Jayden Adams,€1.80m
Oswin Appollis,€2.50m
Sipho Chaine,€1.60m
Bradley Cross,€1.00m
Lyle Foster,€8.00m
Ricardo Goss,€350k
Samukele Kabini,€2.50m
Evidence Makgopa,€1.40m
Olwethu Makhanya,€2.00m
Thapelo Maseko,€750k
Thabang Matuludi,€1.20m
Thalente Mbatha,€2.00m
Mbekezeli Mbokazi,€3.50m
Aubrey Modiba,€1.80m
Relebohile Mofokeng,€3.00m
Teboho Mokoena,€2.80m
Tshepang Moremi,€1.40m
Khuliso Mudau,€1.20m
Khulumani Ndamane,€1.20m
Ime Okon,€2.00m
Iqraam Rayners,€2.80m
Kamogelo Sebelebele,€1.20m
Nkosinathi Sibisi,€1.60m
Sphephelo Sithole,€600k
Ronwen Williams,€800k
Themba Zwane,€250k
Álex Baena,€40.00m
Pau Cubarsí,€80.00m
Marc Cucurella,€50.00m
Eric García,€40.00m
Joan García,€45.00m
Gavi,€30.00m
Álex Grimaldo,€20.00m
Borja Iglesias,€2.80m
Aymeric Laporte,€8.00m
Marcos Llorente,€20.00m
Mikel Merino,€25.00m
Víctor Muñoz,€30.00m
Dani Olmo,€60.00m
Mikel Oyarzabal,€25.00m
Pedri,€150.00m
Yeremi Pino,Álvaro Torres
Pedro Porro,€35.00m
Marc Pubill,€35.00m
David Raya,€30.00m
Rodri,€50.00m
Fabián Ruiz Peña,€30.00m
Unai Simón,€22.00m
Ferrán Torres,€50.00m
Nico Williams,€40.00m
Lamine Yamal,€200.00m
Martín Zubimendi,€75.00m
Taha Ali,€1.50m
Yasin Ayari,€35.00m
Lucas Bergvall,€35.00m
Alexander Bernhardsson,€3.00m
Hjalmar Ekdal,€5.00m
Anthony Elanga,€32.00m
Gabriel Gudmundsson,€20.00m
Viktor Gyökeres,€65.00m
Isak Hien,€22.00m
Emil Holm,€10.00m
Alexander Isak,€85.00m
Herman Johansson,€1.80m
Viktor Johansson,€12.00m
Jesper Karlström,€4.00m
Gustaf Lagerbielke,€10.00m
Victor Lindelöf,€5.00m
Gustaf Nilsson,€1.80m
Kristoffer Nordfeldt,€175k
Benjamin Nygren,€14.00m
Ken Sema,€800k
Eric Smith,€5.00m
Carl Starfelt,€4.50m
Elliot Stroud,€5.00m
Mattias Svanberg,€8.00m
Daniel Svensson,€22.00m
Jacob Widell Zetterström,€2.50m
Besfort Zeneli,€6.00m
Michel Aebischer,€4.00m
Manuel Akanji,€17.00m
Zeki Amdouni,€7.00m
Aurèle Amenda,€10.00m
Eray Cömert,€2.50m
Nico Elvedi,€8.00m
Breel Embolo,€15.00m
Christian Fassnacht,€2.00m
Remo Freuler,€3.00m
Cedric Itten,€1.80m
Luca Jaquez,€10.00m
Ardon Jashari,€25.00m
Marvin Keller,€6.00m
Gregor Kobel,€40.00m
Johan Manzambi,€50.00m
Miro Muheim,€5.00m
Yvon Mvogo,€2.50m
Dan Ndoye,€32.00m
Noah Okafor,€25.00m
Fabian Rieder,€12.00m
Ricardo Rodríguez,€1.40m
Djibril Sow,€7.50m
Ruben Vargas,€12.00m
Silvan Widmer,€800k
Granit Xhaka,€8.00m
Denis Zakaria,€25.00m
Ali Abdi,€2.00m
Elias Achouri,€3.00m
Adem Arous,€4.00m
Khalil Ayari,€1.00m
Sabri Ben Hassen,Franck Belhassen
Mortadha Ben Ouanes,€1.50m
Anis Ben Slimane,€4.00m
Dylan Bronn,€600k
Mouhib Chamakh,€800k
Firas Chaouat,€1.20m
Raed Chikhaoui,€600k
Aymen Dahmen,€800k
Rayan Elloumi,€800k
Ismaël Gharbi,€5.00m
Mohamed Amine Ben Hamida,€1.00m
Rani Khedira,€2.00m
Hadj Mahmoud,€2.00m
Hazem Mastouri,€900k
Hannibal Mejbri,€15.00m
Moutaz Neffati,€1.20m
Omar Rekik,€500k
Elias Saad,€2.00m
Ellyes Skhiri,€5.00m
Montassar Talbi,€8.00m
Sebastian Tounekti,€5.00m
Yan Valery,€1.50m
Samet Akaydın,€1.20m
Yunus Akgün,€18.00m
Kerem Aktürkoğlu,€20.00m
Barış Alper Yılmaz,€30.00m
Oğuz Aydın,€7.00m
Kaan Ayhan,€1.50m
Abdülkerim Bardakcı,€6.50m
Altay Bayındır,€5.00m
Uğurcan Çakır,€15.00m
Hakan Çalhanoğlu,€16.00m
İrfan Can Kahveci,€3.00m
Zeki Çelik,€14.00m
Merih Demiral,€12.00m
Eren Elmalı,€5.00m
Deniz Gül,€5.00m
Arda Güler,€90.00m
Mert Günok,€500k
Ozan Kabak,€15.00m
Ferdi Kadioglu,€35.00m
Orkun Kökçü,€25.00m
Mert Müldür,€7.00m
Salih Özcan,€3.50m
Çağlar Söyüncü,€3.50m
Can Uzun,€45.00m
Kenan Yıldız,€75.00m
İsmail Yüksek,€15.00m
Brenden Aaronson,€22.00m
Tyler Adams,€25.00m
Max Arfsten,€5.00m
Folarin Balogun,€40.00m
Sebastian Berhalter,€8.00m
Chris Brady,€2.50m
Sergiño Dest,€18.00m
Alex Freeman,€3.50m
Matt Freese,€2.00m
Weston McKennie,€30.00m
Mark McKenzie,€7.00m
Ricardo Pepi,€30.00m
Christian Pulisic,€40.00m
Tim Ream,€150k
Gio Reyna,€4.00m
Chris Richards,€28.00m
Antonee Robinson,€22.00m
Miles Robinson,€3.50m
Cristian Roldan,€3.50m
Joe Scally,€7.00m
Malik Tillman,€30.00m
Auston Trusty,€6.00m
Matt Turner,€2.50m
Timothy Weah,€20.00m
Haji Wright,€16.00m
Alejandro Zendejas,€10.00m
Rodrigo Aguirre,€2.30m
Maxi Araújo,€35.00m
Ronald Araújo,€20.00m
Giorgian de Arrascaeta,€14.00m
Rodrigo Bentancur,€20.00m
Santiago Bueno,€10.00m
Sebastián Cáceres,€4.50m
Agustín Canobbio,€8.00m
Nicolás De La Cruz,€8.00m
Juan Manuel Sanabria,€4.00m
José María Giménez,€9.00m
Emiliano Martínez,€12.00m
Santiago Mele,€2.00m
Fernando Muslera,€700k
Darwin Núñez,€20.00m
Mathías Olivera,€15.00m
Facundo Pellistri,€5.00m
Joaquín Piquerez,€12.00m
Sergio Rochet,€1.80m
Brian Rodríguez,€8.00m
Manuel Ugarte,€25.00m
Federico Valverde,€90.00m
Guillermo Varela,€1.00m
Matías Viña,€3.50m
Federico Viñas,€4.00m
Rodrigo Zalazar,€30.00m
Abdulla Abdullaev,-
Khojiakbar Alijonov,Unknown
Azizbek Amonov,Unknown
Rustam Ashurmatov,€750k
Botirali Ergashev,€500k
Sherzod Esanov,€450k
Umar Eshmurodov,€450k
Abbosbek Fayzullayev,Unknown
Aziz Ganiev,€2.00m
Odiljon Hamrobekov,Unknown
Jamshid Iskanderov,€1.00m
Bekhruz Karimov,€350k
Dostonbek Khamdamov,€900k
Abdukodir Khusanov,€50.00m
Jaloliddin Masharipov,€1.00m
Akmal Mozgovoy,€1.40m
Sherzod Nasrullaev,€1.20m
Abduvohid Nematov,Unknown
Farrukh Sayfiev,€225k
Igor Sergeev,€1.20m
Eldor Shomurodov,€7.00m
Otabek Shukurov,€1.50m
Avazbek Ulmasaliev,€500k
Jakhongir Urozov,€600k
Oston Urunov,€2.00m
Utkir Yusupov,€500k
