Player,MarketValue_EUR
Nico Schlotterbeck,€55.00m
Angelo Stiller,€45.00m
Jonathan Tah,€28.00m
Malick Thiaw,€45.00m
Deniz Undav,€22.00m
Florian Wirtz,€100.00m
Nick Woltemade,€55.00m
Jonas Adjetey,€6.00m
Joseph Anang,€350k
Benjamin Asare,-
Lawrence Ati-Zigi,Unknown
Jordan Ayew,€1.00m
Augustine Boakye,€6.00m
Christopher Bonsu-Baah,Unknown
Abdul Fatawu Issahaku,€20.00m
Prince Kwabena Adu,€3.00m
Derrick Luckassen,€1.00m
Gideon Mensah,€4.00m
Abdul Mumin,€3.00m
Ernest Nuamah,€10.00m
Jerome Opoku,€5.00m
Elisha Owusu,€4.00m
Thomas Partey,€2.00m
Kojo Peprah Oppong,€10.00m
Abdul Rahman Baba,€2.00m
Alidu Seidu,€6.00m
Antoine Semenyo,€80.00m
Marvin Senaya,€3.00m
Kwasi Sibo,€1.40m
Kamaldeen Sulemana,€17.00m
Brandon Thomas-Asante,€16.00m
Iñaki Williams,€8.00m
Caleb Yirenkyi,€10.00m
Ricardo Adé,€300k
Carlens Arcus,€1.80m
Jean-Ricner Bellegarde,€16.00m
Josué Casimir,€3.00m
Louicius Deedson,€1.20m
Hannes Delcroix,€2.00m
Josué Duverger,€50k
Jean-Kevin Duverne,€2.00m
Derrick Etienne,€800k
Martin Expérience,€350k
Yassin Fortuné,€300k
Carl Fred Sainté,€125k
Wilson Isidor,€18.00m
Danley Jean-Jacques,€3.00m
Lenny Joseph,€2.00m
Duke Lacroix,€125k
Duckens Nazon,€800k
Wilguens Paugain,€800k
Alexandre Pierre,€700k
Leverton Pierre,€200k
Woodensky Pierre,€100k
Frantzdy Pierrot,€1.50m
Johny Placide,€150k
Ruben Providence,€300k
Dominique Simon,€200k
Keeto Thermoncy,€100k
Ali Alipour,€1.70m
Alireza Beiranvand,€650k
Rouzbeh Cheshmi,€450k
Dennis Eckert,€2.00m
Danial Eiri,€1.00m
Saeid Ezatolahi,Unknown
Mehdi Ghayedi,€4.50m
Saman Ghoddos,€1.20m
Mohammad Ghorbani,€1.20m
Ehsan Hajsafi,€250k
Saleh Hardani,€800k
Hossein Hosseini,€500k
Amirhossein Hosseinzadeh,€2.20m
Alireza Jahanbakhsh,€500k
Hossein Kanaanizadegan,€1.60m
Shoja' Khalilzadeh,Unknown
Shahriar Moghanlou,€800k
Milad Mohammadi,€900k
Mohammad Mohebi,€2.50m
Ali Nemati,-
Payam Niazmand,€700k
Amirmohammad Razzaghinia,€1.20m
Ramin Rezaeian,€250k
Mehdi Taremi,€2.00m
Mehdi Torabi,€1.20m
Aria Yousefi,€1.50m
Hussein Ali,€400k
Mohanad Ali,€1.20m
Amir Al Ammari,Samir El-Kateb
Youssef Amyn,€550k
Ahmed Basil,€450k
Ibrahim Bayesh,€800k
Frans Dhia Putros,Unknown
Merchas Doski,€1.70m
Marko Farji,€1.70m
Ali Al Hamadi,€1.50m
Akam Hashim,€700k
Jalal Hassan,€250k
Ayman Hussein,-
Zidane Iqbal,€1.00m
Zaid Ismail,€500k
Ali Jasim,€500k
Ahmed Maknzi,€450k
Ahmed Qasem,€3.50m
Mustafa Saadoon,€350k
Aimar Sher,€1.50m
Rebin Sulaka,€100k
Zaid Tahseen,€600k
Fahad Talib,€375k
Ahmed Yahya,€450k
Kevin Yakob,€850k
Manaf Younis,€300k
Ali Yousif,€200k
Ritsu Doan,€17.00m
Wataru Endo,€4.00m
Keisuke Gotō,€10.00m
Tomoki Hayakawa,€2.00m
Ko Itakura,€8.00m
Hiroki Ito,€18.00m
Junya Itō,€3.00m
Daichi Kamada,€10.00m
Takefusa Kubo,€20.00m
Daizen Maeda,€13.00m
Yūto Nagatomo,€100k
Keito Nakamura,€10.00m
Kōki Ogawa,€2.00m
