Year,Stage,Country1,Country2,Score1,Score2,Venue,City
2018,semi-finals,Croatia,England,2,1,Luzhniki Stadium,Moscow
2018,third-place match,Belgium,England,2,0,Krestovsky Stadium,Saint Petersburg
2018,final,France,Croatia,4,2,Luzhniki Stadium,Moscow
2019,group stage,France,South Korea,4,0,Parc des Princes,Paris
2019,group stage,Germany,China,1,0,Roazhon Park,Rennes
2019,group stage,Spain,South Africa,3,1,Stade Océane,Le Havre
2019,group stage,Norway,Nigeria,3,0,Stade Auguste-Delaune,Reims
2019,group stage,Australia,Italy,1,2,Stade du Hainaut,Valenciennes
2019,group stage,Brazil,Jamaica,3,0,Stade des Alpes,Grenoble
2019,group stage,England,Scotland,2,1,Allianz Riviera,Nice
2019,group stage,Argentina,Japan,0,0,Parc des Princes,Paris
2019,group stage,Canada,Cameroon,1,0,Stade de la Mosson,Montpellier
2019,group stage,New Zealand,Netherlands,0,1,Stade Océane,Le Havre
2019,group stage,Chile,Sweden,0,2,Roazhon Park,Rennes
2019,group stage,United States,Thailand,13,0,Stade Auguste-Delaune,Reims
2019,group stage,Nigeria,South Korea,2,0,Stade des Alpes,Grenoble
2019,group stage,Germany,Spain,1,0,Stade du Hainaut,Valenciennes
2019,group stage,France,Norway,2,1,Allianz Riviera,Nice
2019,group stage,Australia,Brazil,3,2,Stade de la Mosson,Montpellier
2019,group stage,South Africa,China,0,1,Parc des Princes,Paris
2019,group stage,Japan,Scotland,2,1,Roazhon Park,Rennes
2019,group stage,Jamaica,Italy,0,5,Stade Auguste-Delaune,Reims
2019,group stage,England,Argentina,1,0,Stade Océane,Le Havre
2019,group stage,Netherlands,Cameroon,3,1,Stade du Hainaut,Valenciennes
2019,group stage,Canada,New Zealand,2,0,Stade des Alpes,Grenoble
2019,group stage,Sweden,Thailand,5,1,Allianz Riviera,Nice
2019,group stage,United States,Chile,3,0,Parc des Princes,Paris
2019,group stage,China,Spain,0,0,Stade Océane,Le Havre
2019,group stage,South Africa,Germany,0,4,Stade de la Mosson,Montpellier
2019,group stage,Nigeria,France,0,1,Roazhon Park,Rennes
2019,group stage,South Korea,Norway,1,2,Stade Auguste-Delaune,Reims
2019,group stage,Italy,Brazil,0,1,Stade du Hainaut,Valenciennes
2019,group stage,Jamaica,Australia,1,4,Stade des Alpes,Grenoble
2019,group stage,Japan,England,0,2,Allianz Riviera,Nice
2019,group stage,Scotland,Argentina,3,3,Parc des Princes,Paris
2019,group stage,Cameroon,New Zealand,2,1,Stade de la Mosson,Montpellier
2019,group stage,Netherlands,Canada,2,1,Stade Auguste-Delaune,Reims
2019,group stage,Sweden,United States,0,2,Stade Océane,Le Havre
2019,group stage,Thailand,Chile,0,2,Roazhon Park,Rennes
2019,round of 16,Germany,Nigeria,3,0,Stade des Alpes,Grenoble
2019,round of 16,Norway,Australia,1,1,Allianz Riviera,Nice
2019,round of 16,England,Cameroon,3,0,Stade du Hainaut,Valenciennes
2019,round of 16,France,Brazil,2,1,Stade Océane,Le Havre
2019,round of 16,Spain,United States,1,2,Stade Auguste-Delaune,Reims
2019,round of 16,Sweden,Canada,1,0,Parc des Princes,Paris
2019,round of 16,Italy,China,2,0,Stade de la Mosson,Montpellier
2019,round of 16,Netherlands,Japan,2,1,Roazhon Park,Rennes
2019,quarter-final,Norway,England,0,3,Stade Océane,Le Havre
2019,quarter-final,France,United States,1,2,Parc des Princes,Paris
2019,quarter-final,Italy,Netherlands,0,2,Stade du Hainaut,Valenciennes
2019,quarter-final,Germany,Sweden,1,2,Roazhon Park,Rennes
2019,semi-final,England,United States,1,2,Parc Olympique Lyonnais,Lyon
2019,semi-final,Netherlands,Sweden,1,0,Parc Olympique Lyonnais,Lyon
2019,third-place match,England,Sweden,1,2,Allianz Riviera,Nice
2019,final,United States,Netherlands,2,0,Parc Olympique Lyonnais,Lyon
2022,group stage,Qatar,Ecuador,0,2,Al Bayt Stadium,Al Khor
2022,group stage,England,Iran,6,2,Khalifa International Stadium,Al Rayyan
2022,group stage,Senegal,Netherlands,0,2,Al Thumama Stadium,Doha
2022,group stage,United States,Wales,1,1,Ahmad bin Ali Stadium,Al Rayyan
2022,group stage,Argentina,Saudi Arabia,1,2,Lusail Stadium,Lusail
2022,group stage,Denmark,Tunisia,0,0,Education City Stadium,Al Rayyan
2022,group stage,Mexico,Poland,0,0,Stadium 974,Doha
2022,group stage,France,Australia,4,1,Al Janoub Stadium,Al Wakrah
2022,group stage,Morocco,Croatia,0,0,Al Bayt Stadium,Al Khor
2022,group stage,Germany,Japan,1,2,Khalifa International Stadium,Al Rayyan
2022,group stage,Spain,Costa Rica,7,0,Al Thumama Stadium,Doha
2022,group stage,Belgium,Canada,1,0,Ahmad bin Ali Stadium,Al Rayyan
2022,group stage,Switzerland,Cameroon,1,0,Al Janoub Stadium,Al Wakrah
2022,group stage,Uruguay,South Korea,0,0,Education City Stadium,Al Rayyan
2022,group stage,Portugal,Ghana,3,2,Stadium 974,Doha
2022,group stage,Brazil,Serbia,2,0,Lusail Stadium,Lusail
2022,group stage,Wales,Iran,0,2,Ahmad bin Ali Stadium,Al Rayyan
2022,group stage,Qatar,Senegal,1,3,Al Thumama Stadium,Doha
2022,group stage,Netherlands,Ecuador,1,1,Khalifa International Stadium,Al Rayyan
2022,group stage,England,United States,0,0,Al Bayt Stadium,Al Khor
2022,group stage,Tunisia,Australia,0,1,Al Janoub Stadium,Al Wakrah
2022,group stage,Poland,Saudi Arabia,2,0,Education City Stadium,Al Rayyan
2022,group stage,France,Denmark,2,1,Stadium 974,Doha
2022,group stage,Argentina,Mexico,2,0,Lusail Stadium,Lusail
2022,group stage,Japan,Costa Rica,0,1,Ahmad bin Ali Stadium,Al Rayyan
2022,group stage,Belgium,Morocco,0,2,Al Thumama Stadium,Doha
2022,group stage,Croatia,Canada,4,1,Khalifa International Stadium,Al Rayyan
2022,group stage,Spain,Germany,1,1,Al Bayt Stadium,Al Khor
2022,group stage,Cameroon,Serbia,3,3,Al Janoub Stadium,Al Wakrah
2022,group stage,South Korea,Ghana,2,3,Education City Stadium,Al Rayyan
2022,group stage,Brazil,Switzerland,1,0,Stadium 974,Doha
2022,group stage,Portugal,Uruguay,2,0,Lusail Stadium,Lusail
2022,group stage,Ecuador,Senegal,1,2,Khalifa International Stadium,Al Rayyan
2022,group stage,Netherlands,Qatar,2,0,Al Bayt Stadium,Al Khor
2022,group stage,Iran,United States,0,1,Al Thumama Stadium,Doha
2022,group stage,Wales,England,0,3,Ahmad bin Ali Stadium,Al Rayyan
2022,group stage,Australia,Denmark,1,0,Al Janoub Stadium,Al Wakrah
2022,group stage,Tunisia,France,1,0,Education City Stadium,Al Rayyan
2022,group stage,Poland,Argentina,0,2,Stadium 974,Doha
2022,group stage,Saudi Arabia,Mexico,1,2,Lusail Stadium,Lusail
2022,group stage,Canada,Morocco,1,2,Al Thumama Stadium,Doha
2022,group stage,Croatia,Belgium,0,0,Ahmad bin Ali Stadium,Al Rayyan
2022,group stage,Costa Rica,Germany,2,4,Al Bayt Stadium,Al Khor
2022,group stage,Japan,Spain,2,1,Khalifa International Stadium,Al Rayyan
2022,group stage,Ghana,Uruguay,0,2,Al Janoub Stadium,Al Wakrah
2022,group stage,South Korea,Portugal,2,1,Education City Stadium,Al Rayyan
2022,group stage,Cameroon,Brazil,1,0,Lusail Stadium,Lusail
2022,group stage,Serbia,Switzerland,2,3,Stadium 974,Doha
2022,round of 16,Netherlands,United States,3,1,Khalifa International Stadium,Al Rayyan
2022,round of 16,Argentina,Australia,2,1,Ahmad bin Ali Stadium,Al Rayyan
2022,round of 16,France,Poland,3,1,Al Thumama Stadium,Doha
2022,round of 16,England,Senegal,3,0,Al Bayt Stadium,Al Khor
2022,round of 16,Japan,Croatia,1,1,Al Janoub Stadium,Al Wakrah
2022,round of 16,Brazil,South Korea,4,1,Stadium 974,Doha
2022,round of 16,Morocco,Spain,0,0,Education City Stadium,Al Rayyan
2022,round of 16,Portugal,Switzerland,6,1,Lusail Stadium,Lusail
2022,quarter-finals,Croatia,Brazil,1,1,Education City Stadium,Al Rayyan
2022,quarter-finals,Netherlands,Argentina,2,2,Lusail Stadium,Lusail
2022,quarter-finals,Morocco,Portugal,1,0,Al Thumama Stadium,Doha
2022,quarter-finals,England,France,1,2,Al Bayt Stadium,Al Khor
2022,semi-finals,Argentina,Croatia,3,0,Lusail Stadium,Lusail
2022,semi-finals,France,Morocco,2,0,Al Bayt Stadium,Al Khor
2022,third-place match,Croatia,Morocco,2,1,Khalifa International Stadium,Al Rayyan
2022,final,Argentina,France,3,3,Lusail Stadium,Lusail
