Year,Stage,Country1,Country2,Score1,Score2,Venue,City
2014,third-place match,Brazil,Netherlands,0,3,Estádio Nacional,Brasília
2014,final,Germany,Argentina,1,0,Estádio do Maracanã,Rio de Janeiro
2015,group stage,Canada,China,1,0,Commonwealth Stadium,Edmonton
2015,group stage,New Zealand,Netherlands,0,1,Commonwealth Stadium,Edmonton
2015,group stage,Norway,Thailand,4,0,TD Place Stadium,Ottawa
2015,group stage,Germany,Ivory Coast,10,0,TD Place Stadium,Ottawa
2015,group stage,Sweden,Nigeria,3,3,Investors Group Field,Winnipeg
2015,group stage,Cameroon,Ecuador,6,0,BC Place,Vancouver
2015,group stage,United States,Australia,3,1,Investors Group Field,Winnipeg
2015,group stage,Japan,Switzerland,1,0,BC Place,Vancouver
2015,group stage,France,England,1,0,Moncton Stadium,Moncton
2015,group stage,Spain,Costa Rica,1,1,Olympic Stadium,Montreal
2015,group stage,Colombia,Mexico,1,1,Moncton Stadium,Moncton
2015,group stage,Brazil,South Korea,2,0,Olympic Stadium,Montreal
2015,group stage,China,Netherlands,1,0,Commonwealth Stadium,Edmonton
2015,group stage,Germany,Norway,1,1,TD Place Stadium,Ottawa
2015,group stage,Canada,New Zealand,0,0,Commonwealth Stadium,Edmonton
2015,group stage,Ivory Coast,Thailand,2,3,TD Place Stadium,Ottawa
2015,group stage,Switzerland,Ecuador,10,1,BC Place,Vancouver
2015,group stage,Australia,Nigeria,2,0,Investors Group Field,Winnipeg
2015,group stage,Japan,Cameroon,2,1,BC Place,Vancouver
2015,group stage,United States,Sweden,0,0,Investors Group Field,Winnipeg
2015,group stage,France,Colombia,0,2,Moncton Stadium,Moncton
2015,group stage,Brazil,Spain,1,0,Olympic Stadium,Montreal
2015,group stage,England,Mexico,2,1,Moncton Stadium,Moncton
2015,group stage,South Korea,Costa Rica,2,2,Olympic Stadium,Montreal
2015,group stage,Thailand,Germany,0,4,Investors Group Field,Winnipeg
2015,group stage,Ivory Coast,Norway,1,3,Moncton Stadium,Moncton
2015,group stage,China,New Zealand,2,2,Investors Group Field,Winnipeg
2015,group stage,Netherlands,Canada,1,1,Olympic Stadium,Montreal
2015,group stage,Switzerland,Cameroon,1,2,Commonwealth Stadium,Edmonton
