Country,Category,Player,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
Jordan,all_competitions,Nour Bani Attiah,GK,33-140,1.0,0.0,33,0.4,1.0,2.73,,,,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Jordan,all_competitions,Squad Total,,29.0,2.0,2.0,168,1.9,6.0,3.21,,,,0.0,0.0,2.0,0,0.0,2,2,0,0,0.0,
Jordan,all_competitions,Opponent Total,,29.5,2.0,2.0,168,1.9,1.0,0.54,,,,2.0,0.0,0.0,1,50.0,0,0,0,0,,
Jordan,all_competitions,Yazeed Abulaila,GK,33.0,16.0,16.0,"1,406",15.6,11.0,0.7,27.0,21.0,63.0,8.0,5.0,3.0,6,37.5,1,1,0,0,0.0,Matches
Jordan,all_competitions,Abdallah Al-Fakhouri,GK,26.0,1.0,0.0,34,0.4,1.0,2.65,4.0,3.0,75.0,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Jordan,all_competitions,Squad Total,,29.5,16.0,16.0,"1,440",16.0,12.0,0.75,31.0,24.0,64.5,8.0,5.0,3.0,6,37.5,1,1,0,0,0.0,
Jordan,all_competitions,Opponent Total,,29.0,16.0,16.0,"1,440",16.0,32.0,2.0,35.0,21.0,20.0,3.0,5.0,8.0,4,25.0,5,4,1,0,20.0,
Jordan,all_competitions,Yazeed Abulaila,GK,33-157,18.0,18.0,"1,541",17.1,16.0,0.93,27.0,21.0,63.0,8.0,5.0,5.0,6,33.3,3,3,0,0,0.0,Matches
Jordan,all_competitions,Abdallah Al-Fakhouri,GK,26-143,1.0,0.0,34,0.4,1.0,2.65,4.0,3.0,75.0,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Jordan,all_competitions,Nour Bani Attiah,GK,33-140,1.0,0.0,33,0.4,1.0,2.73,,,,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Korea Republic,all_competitions,Kim Seung-gyu,GK,35-257,1.0,1.0,90,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0,0.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Squad Total,,28.7,1.0,1.0,90,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0,0.0,0,0,0,0,,
Korea Republic,all_competitions,Opponent Total,,28.2,1.0,1.0,90,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0,0.0,0,0,0,0,,
Korea Republic,all_competitions,Kim Seung-gyu,GK,35-257,3.0,2.0,180,2.0,1.0,0.5,,,,1.0,0.0,1.0,2,100.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Jo Hyeon-woo,GK,34-262,2.0,2.0,135,1.5,4.0,2.67,,,,1.0,0.0,1.0,1,50.0,0,0,0,0,,Matches
Korea Republic,all_competitions,Song Bum-keun,GK,28-242,1.0,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Korea Republic,all_competitions,Squad Total,,28.5,4.0,4.0,360,4.0,5.0,1.25,,,,2.0,0.0,2.0,2,50.0,0,0,0,0,,
