,count,mean,std,min,25%,50%,75%,max
Playing Time_Mn/MP_allcomps,8504.0,177.366768579492,73.72171870373285,0.0,130.0,180.0,227.0,404.0
Playing Time_Min%_allcomps,8400.0,43.91218551587302,22.728146578551023,0.1,25.0,42.13333333333333,61.4,100.0
Starts_allcomps,8504.0,11.276105362182502,8.750354604528763,0.0,4.0,10.0,16.0,42.0
Starts_Mn/Start_allcomps,8504.0,194.29715428033867,82.07134412459781,0.0,159.0,207.0,247.0,404.0
Starts_Compl_allcomps,8504.0,5.699200376293509,7.079616071938137,0.0,0.0,2.0,8.0,40.0
Subs_allcomps,8504.0,4.119708372530574,4.125659643147143,0.0,0.0,4.0,6.0,26.0
Subs_Mn/Sub_allcomps,8504.0,49.916392285983065,38.61335121467893,0.0,0.0,54.0,80.0,183.0
Subs_unSub_allcomps,8504.0,3.5931326434619004,4.328075815167108,0.0,0.0,2.0,6.0,32.0
Team Success_PPM_allcomps,8400.0,2.1086449404761907,0.6114125479686195,0.0,1.71,2.1666666666666665,2.5500000000000003,3.0
Team Success_onG_allcomps,8504.0,23.16956726246472,16.886569725485277,0.0,10.0,20.0,34.0,84.0
Team Success_onGA_allcomps,8504.0,8.265051740357478,7.3376791391843925,0.0,2.0,6.0,12.0,54.0
Team Success_+/-_allcomps,8400.0,4.970773809523809,4.789427181629438,-6.666666666666667,1.3333333333333333,4.0,7.333333333333333,22.666666666666668
Team Success_+/-90_allcomps,8400.0,1.3178227182539681,1.6541825792896696,-15.576666666666666,0.5,1.37,2.0733333333333333,11.25
Team Success_On-Off_allcomps,8391.0,-0.02783647161641443,2.402788787415496,-29.203333333333337,-0.7600000000000001,0.07,0.9766666666666668,30.08
Performance_GA_allcomps,543.0,9.237569060773481,8.084465718991591,0.0,2.0,6.0,16.0,32.0
Performance_GA90_allcomps,543.0,0.7782305095150399,0.6223689585429346,0.0,0.2766666666666666,0.8700000000000001,1.1275,4.0
Performance_SoTA_allcomps,543.0,20.795580110497237,23.79309294609359,0.0,0.0,12.0,32.0,102.0
Performance_Saves_allcomps,543.0,15.259668508287293,18.58948571708491,0.0,0.0,8.0,20.0,78.0
Performance_Save%_allcomps,363.0,71.16988062442609,16.517993948426263,0.0,56.7,75.0,77.86666666666666,100.0
Performance_W_allcomps,543.0,7.848987108655617,6.472139688355773,0.0,2.0,8.0,12.0,26.0
Performance_D_allcomps,543.0,2.5303867403314917,2.9281836425080825,0.0,0.0,2.0,4.0,12.0
Performance_L_allcomps,543.0,2.014732965009208,2.5570545412086405,0.0,0.0,2.0,4.0,10.0
Performance_CS_allcomps,543.0,6.139963167587477,5.54175075898002,0.0,2.0,4.0,8.0,22.0
Performance_CS%_allcomps,495.0,50.760252525252525,41.457953215330384,0.0,19.425,44.3,72.36666666666666,200.0
Penalty Kicks_PKatt_allcomps,543.0,0.6519337016574586,1.2368984762763962,0.0,0.0,0.0,2.0,8.0
Penalty Kicks_PKA_allcomps,543.0,0.4604051565377532,1.0529336200535357,0.0,0.0,0.0,0.0,6.0
Penalty Kicks_PKsv_allcomps,543.0,0.10313075506445672,0.45907149536114616,0.0,0.0,0.0,0.0,4.0
Penalty Kicks_PKm_allcomps,543.0,0.08839779005524862,0.4114525302444423,0.0,0.0,0.0,0.0,2.0
Penalty Kicks_Save%_allcomps,126.0,21.03174603174603,40.67095996072609,0.0,0.0,0.0,0.0,100.0
injury_count_last_12m,8611.0,3.019858320752526,2.252823862931303,1.0,1.0,2.0,4.0,18.0
total_days_out_last_12m,8611.0,75.36104981999767,83.9213865976249,1.0,22.0,49.0,96.0,1024.0
avg_recovery_time,8611.0,26.70195745784954,30.824177142003382,0.0,11.0,19.16,32.47222222222222,472.0
months_since_last_injury,7589.0,6.617278726090342,10.576109986972027,0.0,0.4927726675427069,2.8580814717477003,8.180026281208935,136.99080157687254
injury_frequency,8611.0,2.886931457896286,6.194158062250494,0.0,0.8474477958236658,1.8126550868486355,3.3698722953845652,273.9375
injury_severity_score,8611.0,2.504238764371153,1.0622109655428382,1.0,2.0,3.0,3.0,5.0
