Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Algeria,Achref Abada,DF,26.9966,4.0,3,191.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47
Algeria,Aïssa Mandi,DF,34.6434,3.0,3,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5
Algeria,Riyad Mahrez,"FW,MF",35.3094,4.0,3,176.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.51,0.0,0.51,0.0,0.0
Algeria,Ibrahim Maza,MF,20.553,4.0,2,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Luca Zidane,GK,28.0876,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ramiz Zerrouki,MF,28.052,4.0,2,177.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.0,1.02
Algeria,Ramy Bensebaini,DF,31.1615,2.0,2,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Nabil Bentaleb,MF,31.553,2.0,2,135.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.67
Algeria,Hicham Boudaoui,MF,26.7228,2.0,2,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Rafik Belghali,DF,24.0192,4.0,1,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Fares Chaïbi,MF,23.5421,3.0,1,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Melvin Mastil,GK,26.3149,2.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Nadhir Benbouali,FW,26.1588,4.0,1,115.0,1.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.78,0.78,1.57,0.78,1.57
Algeria,Yassine Titraoui,MF,22.8843,2.0,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
