Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Canada,Richie Laryea,DF,31.432580424366872,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Stephen Eustáquio,MF,29.479123887748116,1.0,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Tani Oluwaseyi,FW,26.082135523613964,1.0,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Tajon Buchanan,MF,27.344969199178646,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Jonathan David,FW,26.413415468856947,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Liam Millar,MF,26.711841204654345,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Ali Ahmed,MF,25.67624914442163,1.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Promise David,FW,24.947296372347708,1.0,0,30.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
Canada,Jacob Shaffelburg,MF,26.54757015742642,1.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Cyle Larin,"FW,MF",31.15879534565366,1.0,0,15.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0
Canada,Jonathan Osorio,MF,34.00547570157426,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Moïse Bombito,DF,26.20807665982204,0.0,0,,,,,,,,,,,,,,,
Canada,Mathieu Choinière,MF,27.347707049965777,0.0,0,,,,,,,,,,,,,,,
Canada,Alphonso Davies,"DF,FW",25.61327857631759,0.0,0,,,,,,,,,,,,,,,
