Country,Player,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
Côte d'Ivoire,Alban Lafont,GK,27.3888,2.0,180,2.0,0.0,0.0,,,,2.0,0.0,0.0,2,100.0,0,0,0,0,
Ecuador,Hernán Galíndez,GK,39.2081,2.0,166,1.8,1.0,0.54,,,,1.0,1.0,0.0,1,50.0,1,0,1,0,100.0
Ecuador,Moisés Ramírez,GK,25.7611,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Ecuador,Gonzalo Valle,GK,30.2902,1.0,72,0.8,1.0,1.25,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Ecuador,David Cabezas,GK,31.0055,0.0,32,0.4,0.0,0.0,,,,,,,0,,0,0,0,0,
Ecuador,Hernán Galíndez,GK,38.0,12.0,"1,080",12.0,4.0,0.33,34.0,30.0,88.2,6.0,4.0,2.0,8,66.7,0,0,0,0,
Ecuador,Alexander Domínguez,GK,38.0,2.0,180,2.0,0.0,0.0,5.0,5.0,100.0,1.0,1.0,0.0,2,100.0,0,0,0,0,
Ecuador,Moisés Ramírez,GK,25.0,2.0,180,2.0,1.0,0.5,5.0,5.0,80.0,1.0,1.0,0.0,1,50.0,1,0,1,0,100.0
Ecuador,Gonzalo Valle,GK,29.0,2.0,180,2.0,0.0,0.0,7.0,7.0,100.0,0.0,2.0,0.0,2,100.0,0,0,0,0,
Ecuador,Hernán Galíndez,GK,39.2081,14.0,"1,246",13.8,5.0,0.36,34.0,30.0,88.2,7.0,5.0,2.0,9,64.3,1,0,1,0,100.0
Ecuador,Moisés Ramírez,GK,25.7611,3.0,270,3.0,2.0,0.67,5.0,5.0,80.0,2.0,1.0,0.0,1,33.3,1,0,1,0,100.0
Ecuador,Gonzalo Valle,GK,30.2902,3.0,252,2.8,1.0,0.36,7.0,7.0,100.0,0.0,3.0,0.0,3,100.0,0,0,0,0,
Ecuador,Alexander Domínguez,GK,39.0246,2.0,180,2.0,0.0,0.0,5.0,5.0,100.0,1.0,1.0,0.0,2,100.0,0,0,0,0,
Ecuador,David Cabezas,GK,31.0055,0.0,32,0.4,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Egypt,Mohamed El-Shenawy,GK,37.0,9.0,780,8.7,2.0,0.23,,,,7.0,2.0,0.0,7,77.8,0,0,0,0,
Egypt,Mohamed Sobhy,GK,26.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Egypt,Mostafa Shobeir,GK,25.0,0.0,30,0.3,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Egypt,Mostafa Shobeir,GK,26.0821,4.0,281,3.1,2.0,0.64,,,,2.0,1.0,1.0,3,75.0,0,0,0,0,
Egypt,Mohamed El-Shenawy,GK,37.4873,0.0,79,0.9,0.0,0.0,,,,0.0,0.0,0.0,2,,0,0,0,0,
Egypt,Mohamed El-Shenawy,GK,37.4873,9.0,859,9.5,2.0,0.21,,,,7.0,2.0,0.0,9,100.0,0,0,0,0,
Egypt,Mostafa Shobeir,GK,26.0821,4.0,311,3.5,2.0,0.58,,,,2.0,1.0,1.0,4,100.0,0,0,0,0,
Egypt,Mohamed Sobhy,GK,26.9144,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
England,Jordan Pickford,GK,32.271,3.0,197,2.2,1.0,0.46,,,,2.0,0.0,1.0,2,66.7,0,0,0,0,
England,James Trafford,GK,23.6762,1.0,130,1.4,1.0,0.69,,,,0.0,1.0,0.0,1,100.0,1,1,0,0,0.0
England,Dean Henderson,GK,29.2574,0.0,28,0.3,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
England,Jordan Pickford,GK,31.0,7.0,630,7.0,0.0,0.0,3.0,3.0,100.0,7.0,0.0,0.0,7,100.0,0,0,0,0,
England,Dean Henderson,GK,28.0,1.0,90,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,
England,Jordan Pickford,GK,32.271,10.0,827,9.2,1.0,0.11,3.0,3.0,100.0,9.0,0.0,1.0,9,90.0,0,0,0,0,
England,James Trafford,GK,23.6762,1.0,130,1.4,1.0,0.69,,,,0.0,1.0,0.0,1,100.0,1,1,0,0,0.0
England,Dean Henderson,GK,29.2574,1.0,118,1.3,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,2,200.0,0,0,0,0,
France,Mike Maignan,GK,30.9473,3.0,270,3.0,4.0,1.33,,,,2.0,0.0,1.0,0,0.0,0,0,0,0,
France,Brice Samba,GK,32.1369,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
France,Mike Maignan,GK,30.0,5.0,450,5.0,3.0,0.6,6.0,3.0,50.0,4.0,1.0,0.0,3,60.0,0,0,0,0,
France,Lucas Chevalier,GK,24.0,1.0,90,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,
France,Mike Maignan,GK,30.9473,8.0,720,8.0,7.0,0.87,6.0,3.0,50.0,6.0,1.0,1.0,3,37.5,0,0,0,0,
France,Lucas Chevalier,GK,24.6023,1.0,90,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,
France,Brice Samba,GK,32.1369,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Germany,Oliver Baumann,GK,36.0329,3.0,270,3.0,4.0,1.33,,,,3.0,0.0,0.0,1,33.3,0,0,0,0,
Germany,Alexander Nübel,GK,29.7036,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Germany,Oliver Baumann,GK,35.0,6.0,540,6.0,3.0,0.5,13.0,10.0,76.9,5.0,0.0,1.0,4,66.7,0,0,0,0,
Germany,Oliver Baumann,GK,36.0329,9.0,810,9.0,7.0,0.78,13.0,10.0,76.9,8.0,0.0,1.0,5,55.6,0,0,0,0,
Germany,Alexander Nübel,GK,29.7036,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Ghana,Benjamin Asare,GK,33.0,6.0,540,6.0,1.0,0.17,,,,5.0,1.0,0.0,5,83.3,0,0,0,0,
Ghana,Lawrence Ati-Zigi,GK,29.0,2.0,180,2.0,4.0,2.0,,,,2.0,0.0,0.0,0,0.0,0,0,0,0,
Ghana,Richard Ofori,GK,32.0,2.0,180,2.0,1.0,0.5,,,,1.0,0.0,1.0,1,50.0,0,0,0,0,
Ghana,Benjamin Asare,GK,33.9199,2.0,210,2.3,5.0,2.14,,,,0.0,0.0,2.0,0,0.0,1,1,0,0,0.0
Ghana,Lawrence Ati-Zigi,GK,29.5394,2.0,135,1.5,5.0,3.33,,,,0.0,1.0,1.0,0,0.0,1,1,0,0,0.0
Ghana,Solomon Agbasi,GK,25.668,0.0,15,0.2,0.0,0.0,,,,,,,0,,0,0,0,0,
Ghana,Benjamin Asare,GK,33.9199,8.0,750,8.3,6.0,0.72,,,,5.0,1.0,2.0,5,62.5,1,1,0,0,0.0
Ghana,Lawrence Ati-Zigi,GK,29.5394,4.0,315,3.5,9.0,2.57,,,,2.0,1.0,1.0,0,0.0,1,1,0,0,0.0
Ghana,Richard Ofori,GK,32.616,2.0,180,2.0,1.0,0.5,,,,1.0,0.0,1.0,1,50.0,0,0,0,0,
Ghana,Solomon Agbasi,GK,25.668,0.0,15,0.2,0.0,0.0,,,,,,,0,,0,0,0,0,
Haiti,Johny Placide,GK,38.3723,1.0,90,1.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1.0,0,0.0,0,0,0,0,
Haiti,Alexandre Pierre,GK,25.2984,2.0,212,2.4,2.0,0.85,,,,0.0,1.0,1.0,1,50.0,0,0,0,0,
Haiti,Johny Placide,GK,38.3723,2.0,135,1.5,2.0,1.33,,,,1.0,0.0,1.0,1,50.0,0,0,0,0,
Haiti,Johny Placide,GK,38.0,8.0,720,8.0,10.0,1.25,,,,6.0,0.0,2.0,4,50.0,1,0,1,0,100.0
Haiti,Josué Duverger,GK,25.0,1.0,90,1.0,3.0,3.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Haiti,Alexandre Pierre,GK,24.0,1.0,90,1.0,0.0,0.0,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Haiti,Johny Placide,GK,38.3723,11.0,945,10.5,13.0,1.24,2.0,1.0,50.0,7.0,0.0,4.0,5,45.5,1,0,1,0,100.0
Haiti,Alexandre Pierre,GK,25.2984,3.0,302,3.4,2.0,0.6,,,,0.0,2.0,1.0,2,66.7,0,0,0,0,
Haiti,Josué Duverger,GK,26.1314,1.0,90,1.0,3.0,3.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
IR Iran,Alireza Beiranvand,GK,33.7283,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
