Country,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Australia,Gethin Jones,"MF,DF",30.668,1.9,0,,,,,,,,0,0
Australia,Mathew Leckie,"FW,MF",35.3559,1.9,0,,,,,,,,0,0
Australia,Ryan Teague,MF,24.386,1.5,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Lucas Herrington,DF,18.7721,1.5,0,,,,,,,,0,0
Australia,Anthony Cáceres,MF,33.7064,1.3,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Ryan Strain,DF,29.1999,1.2,0,,,,,,,,0,0
Australia,Kai Trewin,"DF,MF",25.0739,1.2,0,,,,,,,,0,0
Australia,Sam Silvera,MF,25.6352,1.1,0,3.0,0.0,0.0,2.73,0.0,0.0,,0,0
Australia,Hayden Matthews,DF,21.9856,1.0,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Nathaniel Atkinson,DF,27.0027,1.0,0,,,,,,,,0,0
Australia,Joshua Nisbet,MF,26.9966,1.0,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Tete Yengi,FW,25.5421,1.0,1,0.0,0.0,,0.0,0.0,,,0,0
Australia,Daniel Arzani,"FW,MF",27.4408,0.6,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Thomas Deng,DF,29.2355,0.6,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,John Iredale,FW,26.8679,0.5,1,,,,,,,,0,0
Australia,Jamie Maclaren,FW,32.8761,0.5,3,,,,,,,,0,0
Australia,Massimo Luongo,MF,33.7173,0.5,0,,,,,,,,0,1
Australia,Cristian Volpato,MF,22.5777,0.5,0,,,,,,,,0,0
Australia,Luke Brattan,MF,36.2683,0.5,0,0.0,0.0,,0.0,0.0,,,0,0
Australia,Awer Mabil,"FW,MF",30.7447,0.5,0,1.0,0.0,0.0,2.2,0.0,0.0,,0,0
Australia,Fran Karačić,DF,30.0903,0.4,0,1.0,0.0,0.0,2.65,0.0,0.0,,0,0
Australia,Cammy Devlin,MF,28.0192,0.3,0,,,,,,,,0,0
Australia,Apostolos Stamatelopoulos,FW,27.1807,0.3,0,,,,,,,,0,0
Australia,Marco Tilio,MF,24.8077,0.2,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Marcel Sabitzer,MF,32.2437,2.7,3,,,,,,,,1,1
Austria,Nicolas Seiwald,MF,25.1123,2.3,1,,,,,,,,0,0
Austria,Stefan Posch,DF,29.0849,2.3,1,,,,,,,,0,0
Austria,Phillipp Mwene,DF,32.3723,1.9,0,,,,,,,,0,0
Austria,Marco Friedl,DF,28.2464,1.8,0,,,,,,,,0,0
Austria,Philipp Lienhart,DF,29.9254,1.7,0,,,,,,,,0,0
Austria,Xaver Schlager,MF,28.7091,1.5,0,,,,,,,,0,0
Austria,Christoph Baumgartner,MF,26.8679,1.5,0,,,,,,,,0,0
Austria,Marko Arnautović,FW,37.1533,1.5,0,,,,,,,,0,0
Austria,Michael Gregoritsch,"MF,FW",32.1561,1.5,1,,,,,,,,0,0
Austria,Alexander Schlager,GK,30.3641,1.5,0,,,,,,,,0,0
Austria,Konrad Laimer,DF,29.0493,1.3,0,,,,,,,,0,0
Austria,Romano Schmid,MF,26.3778,1.1,0,,,,,,,,0,0
Austria,Paul Wanner,MF,20.4736,1.5,0,,,,,,,,0,0
Austria,Kevin Danso,DF,27.7337,1.0,0,,,,,,,,0,0
Austria,Patrick Pentz,GK,29.4463,1.0,0,,,,,,,,0,0
Austria,Patrick Wimmer,MF,25.0411,1.0,0,,,,,,,,0,0
Austria,David Alaba,DF,33.9719,0.8,0,,,,,,,,0,0
Austria,Florian Grillitsch,MF,30.8515,0.6,0,,,,,,,,0,0
Austria,Carney Chukwuemeka,MF,22.6489,1.0,1,,,,,,,,0,0
Austria,Saša Kalajdžić,"FW,MF",28.9363,0.8,0,,,,,,,,0,0
Austria,Alexander Prass,"DF,MF",25.052,0.8,0,,,,,,,,0,0
Austria,Michael Svoboda,DF,27.6626,0.7,0,,,,,,,,0,0
Austria,Florian Wiegele,GK,25.2327,0.5,0,,,,,,,,0,0
Austria,David Affengruber,DF,25.2382,0.1,0,,,,,,,,0,0
Austria,Nicolas Seiwald,MF,24.0,7.8,0,2.0,2.0,100.0,0.25,0.25,0.0,0.0,0,0
Austria,Marcel Sabitzer,MF,31.0,7.8,3,24.0,16.0,66.7,3.09,2.06,0.08,0.13,1,1
Austria,Konrad Laimer,"MF,DF",28.0,7.5,2,6.0,2.0,33.3,0.8,0.27,0.33,1.0,0,0
Austria,Philipp Lienhart,DF,29.0,6.5,0,2.0,0.0,0.0,0.31,0.0,0.0,,0,0
Austria,Christoph Baumgartner,MF,26.0,6.2,1,9.0,5.0,55.6,1.45,0.81,0.11,0.2,0,0
Austria,Romano Schmid,MF,26.0,5.8,1,4.0,3.0,75.0,0.69,0.52,0.25,0.33,0,0
Austria,Alexander Schlager,GK,29.0,5.0,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Marko Arnautović,FW,36.0,4.7,8,16.0,11.0,68.8,3.38,2.32,0.44,0.64,1,2
Austria,Michael Gregoritsch,"FW,MF",31.0,4.7,4,14.0,8.0,57.1,3.01,1.72,0.29,0.5,0,0
Austria,Phillipp Mwene,DF,32.0,4.5,0,1.0,0.0,0.0,0.22,0.0,0.0,,0,0
Austria,Stefan Posch,DF,28.0,4.6,2,5.0,2.0,40.0,1.08,0.43,0.4,1.0,0,0
Austria,David Alaba,DF,33.0,3.3,0,2.0,0.0,0.0,0.61,0.0,0.0,,0,0
Austria,Xaver Schlager,MF,28.0,3.0,0,2.0,0.0,0.0,0.68,0.0,0.0,,0,0
Austria,Kevin Danso,DF,27.0,3.6,0,1.0,0.0,0.0,0.28,0.0,0.0,,0,0
Austria,Patrick Pentz,GK,29.0,2.5,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Patrick Wimmer,"MF,DF",24.0,2.4,0,5.0,0.0,0.0,2.05,0.0,0.0,,0,0
Austria,Marco Friedl,DF,27.0,1.4,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Alexander Prass,DF,24.0,1.3,0,3.0,1.0,33.3,2.31,0.77,0.0,0.0,0,0
Austria,Mathias Honsak,DF,29.0,1.0,0,2.0,0.0,0.0,2.0,0.0,0.0,,0,0
Austria,Maximilian Wöber,DF,27.0,0.8,0,1.0,0.0,0.0,1.32,0.0,0.0,,0,0
Austria,Florian Grillitsch,"DF,MF",30.0,0.9,0,1.0,0.0,0.0,1.06,0.0,0.0,,0,0
Austria,Thierno Ballo,"FW,MF",24.0,0.5,0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,0,0
Austria,Tobias Lawal,GK,25.0,0.5,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Leopold Querfeld,DF,22.0,0.5,0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,0,0
Austria,Raul Florucz,FW,24.0,0.4,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Marco Grüll,"FW,MF",27.0,0.3,0,3.0,1.0,33.3,9.31,3.1,0.0,0.0,0,0
Austria,Alessandro Schöpf,MF,31.0,0.3,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Nikolaus Wurmbrand,MF,20.0,0.2,1,1.0,1.0,100.0,4.5,4.5,1.0,1.0,0,0
Austria,Marcel Sabitzer,MF,32.2437,10.5,6,24.0,16.0,66.7,3.09,2.06,0.08,0.13,2,2
Austria,Nicolas Seiwald,MF,25.1123,10.2,1,2.0,2.0,100.0,0.25,0.25,0.0,0.0,0,0
Austria,Konrad Laimer,"MF,DF",29.0493,8.8,2,6.0,2.0,33.3,0.8,0.27,0.33,1.0,0,0
Austria,Philipp Lienhart,DF,29.9254,8.2,0,2.0,0.0,0.0,0.31,0.0,0.0,,0,0
Austria,Christoph Baumgartner,MF,26.8679,7.7,1,9.0,5.0,55.6,1.45,0.81,0.11,0.2,0,0
Austria,Romano Schmid,MF,26.3778,6.9,1,4.0,3.0,75.0,0.69,0.52,0.25,0.33,0,0
Austria,Stefan Posch,DF,29.0849,6.9,3,5.0,2.0,40.0,1.08,0.43,0.4,1.0,0,0
Austria,Alexander Schlager,GK,30.3641,6.5,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Phillipp Mwene,DF,32.3723,6.3,0,1.0,0.0,0.0,0.22,0.0,0.0,,0,0
Austria,Marko Arnautović,FW,37.1533,6.2,8,16.0,11.0,68.8,3.38,2.32,0.44,0.64,1,2
Austria,Michael Gregoritsch,"FW,MF",32.1561,6.2,5,14.0,8.0,57.1,3.01,1.72,0.29,0.5,0,0
Austria,Kevin Danso,DF,27.7337,4.6,0,1.0,0.0,0.0,0.28,0.0,0.0,,0,0
Austria,Xaver Schlager,MF,28.7091,4.5,0,2.0,0.0,0.0,0.68,0.0,0.0,,0,0
Austria,David Alaba,DF,33.9719,4.1,0,2.0,0.0,0.0,0.61,0.0,0.0,,0,0
Austria,Patrick Pentz,GK,29.4463,3.5,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Patrick Wimmer,"MF,DF",25.0411,3.4,0,5.0,0.0,0.0,2.05,0.0,0.0,,0,0
Austria,Marco Friedl,DF,28.2464,3.2,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Alexander Prass,DF,25.052,2.1,0,3.0,1.0,33.3,2.31,0.77,0.0,0.0,0,0
Austria,Florian Grillitsch,"DF,MF",30.8515,1.6,0,1.0,0.0,0.0,1.06,0.0,0.0,,0,0
Austria,Paul Wanner,MF,20.4736,1.5,0,,,,,,,,0,0
Austria,Mathias Honsak,DF,29.4819,1.0,0,2.0,0.0,0.0,2.0,0.0,0.0,,0,0
Austria,Carney Chukwuemeka,MF,22.6489,1.0,1,,,,,,,,0,0
Austria,Saša Kalajdžić,"FW,MF",28.9363,0.8,0,,,,,,,,0,0
Austria,Maximilian Wöber,DF,28.3559,0.8,0,1.0,0.0,0.0,1.32,0.0,0.0,,0,0
Austria,Michael Svoboda,DF,27.6626,0.7,0,,,,,,,,0,0
Austria,Leopold Querfeld,DF,22.4819,0.5,0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,0,0
Austria,Florian Wiegele,GK,25.2327,0.5,0,,,,,,,,0,0
Austria,Tobias Lawal,GK,26.0192,0.5,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Thierno Ballo,"FW,MF",24.4463,0.5,0,2.0,1.0,50.0,4.0,2.0,0.0,0.0,0,0
Austria,Raul Florucz,FW,25.011,0.4,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Marco Grüll,"FW,MF",27.9391,0.3,0,3.0,1.0,33.3,9.31,3.1,0.0,0.0,0,0
Austria,Alessandro Schöpf,MF,32.3477,0.3,0,0.0,0.0,,0.0,0.0,,,0,0
Austria,Nikolaus Wurmbrand,MF,20.4381,0.2,1,1.0,1.0,100.0,4.5,4.5,1.0,1.0,0,0
Austria,David Affengruber,DF,25.2382,0.1,0,,,,,,,,0,0
Belgium,Kevin De Bruyne,MF,34.961,3.2,1,,,,,,,,0,0
Belgium,Nathan Ngoy,DF,23.011,2.9,0,,,,,,,,0,0
Belgium,Youri Tielemans,MF,29.104,2.7,1,,,,,,,,0,0
Belgium,Jeremy Doku,MF,24.0493,2.7,0,,,,,,,,0,0
Belgium,Amadou Onana,"MF,DF",24.8268,2.5,1,,,,,,,,0,0
Belgium,Charles De Ketelaere,FW,25.2628,2.5,2,,,,,,,,1,1
Belgium,Maxim De Cuyper,"DF,MF",25.4764,2.4,0,,,,,,,,0,0
Belgium,Thomas Meunier,DF,34.7529,2.2,0,,,,,,,,0,0
Belgium,Nicolas Raskin,MF,25.3039,2.1,1,,,,,,,,0,0
Belgium,Thibaut Courtois,GK,34.0931,2.0,0,,,,,,,,0,0
Belgium,Brandon Mechele,DF,33.3751,1.9,0,,,,,,,,0,0
Belgium,Timothy Castagne,DF,30.5229,1.7,0,,,,,,,,0,0
Belgium,Alexis Saelemaekers,MF,26.9637,1.6,0,,,,,,,,0,0
Belgium,Koni De Winter,DF,24.0055,1.4,0,,,,,,,,0,0
Belgium,Dodi Lukebakio,MF,28.7201,1.3,4,,,,,,,,0,0
Belgium,Axel Witsel,MF,37.4189,1.2,0,,,,,,,,0,0
Belgium,Arthur Theate,DF,26.0548,1.2,0,,,,,,,,0,0
Belgium,Loïs Openda,FW,26.3231,1.0,0,,,,,,,,0,0
Belgium,Senne Lammens,GK,23.9363,1.0,0,,,,,,,,0,0
Belgium,Matz Sels,GK,34.2957,1.0,0,,,,,,,,0,0
Belgium,Mika Godts,MF,21.0192,0.9,0,,,,,,,,0,0
Belgium,Zeno Debast,DF,22.6379,0.9,1,,,,,,,,0,0
Belgium,Leandro Trossard,MF,31.5257,0.8,1,,,,,,,,0,0
Belgium,Joaquin Seys,DF,21.2136,0.8,0,,,,,,,,0,0
Belgium,Hans Vanaken,MF,33.8049,0.5,0,,,,,,,,0,0
Belgium,Romelu Lukaku,FW,33.0876,0.5,1,,,,,,,,0,0
Belgium,Matias Fernandez-Pardo,"FW,MF",21.3587,0.4,0,,,,,,,,0,0
Belgium,Nathan De Cat,MF,17.9035,0.2,0,,,,,,,,0,0
Belgium,Lucas Stassin,FW,21.5421,0.2,0,,,,,,,,0,0
Belgium,Diego Moreira,MF,21.8542,0.1,0,,,,,,,,0,0
Belgium,Jeremy Doku,"MF,FW",23.0,7.1,5,27.0,10.0,37.0,3.79,1.4,0.19,0.5,0,0
Belgium,Arthur Theate,DF,25.0,6.5,1,6.0,1.0,16.7,0.92,0.15,0.17,1.0,0,0
Belgium,Zeno Debast,DF,22.0,6.0,0,0.0,0.0,,0.0,0.0,,,0,0
Belgium,Nicolas Raskin,MF,24.0,5.9,1,11.0,4.0,36.4,1.86,0.68,0.09,0.25,0,0
Belgium,Kevin De Bruyne,MF,34.0,5.1,6,23.0,9.0,39.1,4.47,1.75,0.17,0.44,2,2
