Country,Player,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Morocco,Ismael Saibari,FW,25.3750855578371,1.0,0,0,0,2,1,1,0,0,0,,,0
Morocco,Bilal El Khannouss,MF,22.095824777549623,0.9,0,0,0,2,1,0,1,0,3,,,0
Morocco,Noussair Mazraoui,DF,28.580424366872005,0.9,0,0,0,2,0,0,1,0,3,,,0
Morocco,Brahim Díaz,MF,26.862422997946613,0.7,0,0,0,0,3,0,1,0,0,,,0
Morocco,Azzedine Ounahi,MF,26.1533196440794,0.7,0,0,0,0,0,0,1,0,0,,,0
Morocco,Samir El Mourabet,MF,20.687200547570157,0.3,0,0,0,0,1,0,1,0,0,,,0
Morocco,Chemsdine Talbi,MF,21.098562628336754,0.3,0,0,0,0,0,0,3,0,0,,,0
Morocco,Ayoube Amaimouni,MF,21.536618754277892,0.1,0,0,0,0,0,0,1,0,1,,,0
Morocco,Anass Salah-Eddine,DF,24.40246406570842,0.1,0,0,0,0,0,0,1,0,0,,,0
Morocco,Soufiane Rahimi,FW,30.032854209445585,0.0,0,0,0,0,0,0,1,0,1,,,0
Paraguay,Omar Alderete,DF,29.465434633812457,1.0,0,0,0,1,1,0,0,1,0,,,0
Paraguay,Júnior Alonso,DF,33.342231348391515,1.0,1,0,0,1,1,0,1,2,2,,,0
Paraguay,Andrés Cubas,MF,30.06297056810404,1.0,0,0,0,5,0,0,0,0,4,,,0
Paraguay,Julio Enciso,FW,22.38877481177276,1.0,0,0,0,0,4,0,1,0,2,,,0
Paraguay,Orlando Gill,GK,26.008213552361397,1.0,0,0,0,0,0,0,0,0,0,,,0
Paraguay,Gustavo Gómez,DF,33.106776180698155,1.0,0,0,0,2,0,1,0,1,0,,,0
Paraguay,Diego Gómez,MF,23.216290212183434,0.9,1,0,0,1,0,0,0,2,1,,,0
Paraguay,Miguel Almirón,MF,32.33949349760438,0.9,1,0,0,1,1,0,0,1,1,,,0
Paraguay,Juan Cáceres,DF,26.035592060232716,0.9,1,0,0,3,2,0,3,0,3,,,0
Paraguay,Antonio Sanabria,FW,30.279260780287473,0.7,0,0,0,1,1,0,0,0,0,,,0
Paraguay,Damián Bobadilla,MF,24.92539356605065,0.5,0,0,0,0,0,0,0,2,0,,,1
Paraguay,Mauricio,MF,25.06297056810404,0.5,0,0,0,0,1,0,0,0,2,,,0
