player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
,,,,,,,,,,,city_geo_data.csv,,,,,8.0,40.8135,-74.0744,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,9.0,39.9008,-75.1675,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,10.0,37.4032,-121.9698,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,11.0,47.5952,-122.3316,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,12.0,43.6332,-79.4186,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,13.0,49.2767,-123.112,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,14.0,20.6811,-103.4626,1560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,15.0,19.3029,-99.1505,2240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,city_geo_data.csv,,,,,16.0,25.6698,-100.2443,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,1.0,Alavés,La Liga,38.0,146.0,28.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
